ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
51457,Diego Matias Hyplito,M,30.0,170.0,68.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Floor Exercise,Silver
51607,Ana Ida Margarita  Alvarez Vieira,F,19.0,177.0,60.0,Brazil,BRA,1984 Summer,1984,Summer,Los Angeles,Volleyball,Volleyball Women's Volleyball,
51607,Ana Ida Margarita  Alvarez Vieira,F,27.0,177.0,60.0,Brazil,BRA,1992 Summer,1992,Summer,Barcelona,Volleyball,Volleyball Women's Volleyball,
51607,Ana Ida Margarita  Alvarez Vieira,F,31.0,177.0,60.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Volleyball,Volleyball Women's Volleyball,Bronze
51672,Fbio Igel,M,21.0,,,Brazil,BRA,1992 Winter,1992,Winter,Albertville,Alpine Skiing,Alpine Skiing Men's Giant Slalom,
51904,"Ilson Pereira ""Ilsinho"" Dias Jnior",M,22.0,170.0,70.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Football,Football Men's Football,Bronze
52023,Adam Imer,M,26.0,182.0,88.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Hockey,Hockey Men's Hockey,
52182,Matheus Facho Inocncio,M,20.0,192.0,93.0,Brazil,BRA,2002 Winter,2002,Winter,Salt Lake City,Bobsleigh,Bobsleigh Men's Four,
52182,Matheus Facho Inocncio,M,23.0,192.0,93.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 110 metres Hurdles,
52406,Maria Isabel Barroso Alencar Salgado,F,19.0,180.0,67.0,Brazil,BRA,1980 Summer,1980,Summer,Moskva,Volleyball,Volleyball Women's Volleyball,
52406,Maria Isabel Barroso Alencar Salgado,F,23.0,180.0,67.0,Brazil,BRA,1984 Summer,1984,Summer,Los Angeles,Volleyball,Volleyball Women's Volleyball,
52407,Isabela Ramona Lyra Macedo,F,22.0,179.0,76.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Women's Basketball,
52475,Paula Harumi Ishibashi,F,31.0,156.0,58.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Women's Rugby Sevens,
52500,Chiaki Ishii,M,30.0,180.0,93.0,Brazil,BRA,1972 Summer,1972,Summer,Munich,Judo,Judo Men's Half-Heavyweight,Bronze
52500,Chiaki Ishii,M,30.0,180.0,93.0,Brazil,BRA,1972 Summer,1972,Summer,Munich,Judo,Judo Men's Open Class,
52509,Tnia Chie Ishii (-Swain),F,23.0,,,Brazil,BRA,1992 Summer,1992,Summer,Barcelona,Judo,Judo Women's Half-Middleweight,
52512,Vnia Yukie Ishii,F,27.0,167.0,63.0,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Judo,Judo Women's Half-Middleweight,
52512,Vnia Yukie Ishii,F,30.0,167.0,63.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Judo,Judo Women's Half-Middleweight,
52616,Francisco Antnio Felici Italo Isoldi,M,,,,Escapade,BRA,1952 Summer,1952,Summer,Helsinki,Sailing,Sailing Mixed Three Person Keelboat,
52624,Israel Machado Campelo Andrade,M,24.0,206.0,110.0,Brazil,BRA,1984 Summer,1984,Summer,Los Angeles,Basketball,Basketball Men's Basketball,
52624,Israel Machado Campelo Andrade,M,28.0,206.0,110.0,Brazil,BRA,1988 Summer,1988,Summer,Seoul,Basketball,Basketball Men's Basketball,
52624,Israel Machado Campelo Andrade,M,32.0,206.0,110.0,Brazil,BRA,1992 Summer,1992,Summer,Barcelona,Basketball,Basketball Men's Basketball,
53000,Iziane Castro Marques,F,22.0,181.0,69.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Basketball,Basketball Women's Basketball,
53000,Iziane Castro Marques,F,34.0,181.0,69.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Women's Basketball,
